date,CNY,DRR,INR,PSK,URR,BZF,CEW,CROC,CYB,EUFX,EUO,FPE,DBV,FXA,FXB,FXCH,FXC,FXE,FXF,FXSG,FXS,FXY,pgf,pgx,UDN,UUP,IPFF,PFF,PFXF,SPFF,ULE,USDU,YCL,YCS
2015-12-31,41.22,59.7,36.87,44.612338,17.0,12.7654,16.7606,58.5401,24.3472,43.7807,25.5412,15.822185999999999,23.29,72.84,144.31,75.15999999999998,71.42,106.34,96.47000000000001,69.72,116.56,80.54999999999998,18.82,14.91,21.42,25.65,13.994010000000001,32.466297,16.000292,10.551029,15.5113,27.3921,54.7502,87.9473
2016-01-01,,,,,,,,,,,,,23.29,72.84,144.31,75.15999999999998,71.42,106.34,96.47000000000001,69.72,116.56,80.54999999999998,18.82,14.91,21.42,25.65,,,,,,,,
2016-01-02,,,,,,,,,,,,,23.29,72.84,144.31,75.15999999999998,71.42,106.34,96.47000000000001,69.72,116.56,80.54999999999998,18.82,14.91,21.42,25.65,,,,,,,,
2016-01-03,,,,,,,,,,,,,23.29,72.84,144.31,75.15999999999998,71.42,106.34,96.47000000000001,69.72,116.56,80.54999999999998,18.82,14.91,21.42,25.65,,,,,,,,
2016-01-04,40.26,60.4304,36.7,44.779912,17.0,12.515,16.6179,60.0924,24.2013,43.9256,25.7234,15.855588000000001,23.13,,,,,,,,,,18.9,14.99,21.37,25.7,13.828662,32.616714,16.12561,10.607197,15.3977,27.4785,55.465,86.7799
2016-01-05,41.16,61.213,36.7,44.911751,17.0,12.5646,16.6191,60.4933,24.112,44.247,26.0948,15.863932,23.21,,,,,,,,,,18.94,15.03,21.26,25.84,13.645901,32.65015,16.184110999999998,10.623242999999999,15.1745,27.5589,55.8185,86.2228
2016-01-06,40.232,61.02,36.7,44.789159999999995,17.0,12.5598,16.5037,62.1523,23.9485,44.0945,25.9303,15.838884,22.96,,,,,,,,,,18.88,14.98,21.31,25.78,13.315197,32.574940000000005,16.13397,10.559054,15.2694,27.6021,56.3341,85.4228
2016-01-07,40.3348,59.0105,36.88,44.619737,17.018,12.5528,16.4855,63.2102,23.9514,43.4877,25.2098,15.838884,22.62,,,,,,,,,,18.79,14.92,21.53,25.52,13.22817,32.366023999999996,16.067127,10.478822000000001,15.6905,27.4866,57.1908,84.119
2016-01-08,39.9207,59.5,36.67,44.753689,17.1169,12.5249,16.4484,63.715,23.9352,43.5542,25.2748,15.805489000000001,22.62,,,,,,,,,,18.85,14.97,21.45,25.6,12.993198,32.457932,16.075485,10.518937,15.6488,27.5464,57.2839,83.9753
2016-01-09,,,,,,,,,,,,,22.62,,,,,,,,,,18.85,14.97,21.45,25.6,,,,,,,,
2016-01-10,,,,,,,,,,,,,22.62,,,,,,,,,,18.85,14.97,21.45,25.6,,,,,,,,
2016-01-11,40.75,59.6596,36.67,44.625197,16.905,12.5068,16.3485,63.3985,23.9842,43.8171,25.5934,15.847235000000001,22.62,,,,,,,,,,18.79,14.93,21.41,25.65,12.88006,32.282455,16.033716000000002,10.446727000000001,15.4493,27.6312,57.0271,84.3408
2016-01-12,40.12,59.6701,36.65,44.594781,16.905,12.5263,16.3578,63.4518,24.0881,43.8081,25.584,15.847235000000001,22.71,,,,,,,,,,18.79,14.92,21.36,25.71,12.514545,32.257366,15.925094,10.374516,15.454,27.6458,57.0546,84.2957
2016-01-13,40.7,59.6433,36.85,44.447707,16.76,12.7175,16.439,63.8325,24.2717,43.6922,25.4574,15.838884,22.73,,,,,,,,,,18.73,14.87,21.37,25.7,12.384006,32.048454,15.816469,10.334394,15.5297,27.6484,57.0994,84.2257
2016-01-14,40.86,59.62,36.85,44.44635,17.0818,12.6849,16.3969,63.4816,24.1429,43.7698,25.5367,15.788785999999998,22.79,,,,,,,,,,18.72,14.87,21.33,25.74,12.270871000000001,32.065166,15.858247,10.350442,15.4807,27.6942,56.7106,84.7951
2016-01-15,40.53,59.0,36.85,44.334456,17.1001,12.5451,16.287,65.7405,24.0947,43.5551,25.2973,15.73869,22.53,,,,,,,,,,18.58,14.76,21.35,25.71,11.887946000000001,31.939808000000003,15.707853,10.286254,15.6254,27.7563,57.7942,83.1718
2016-01-16,,,,,,,,,,,,,22.53,,,,,,,,,,18.58,14.76,21.35,25.71,,,,,,,,
2016-01-17,,,,,,,,,,,,,22.53,,,,,,,,,,18.58,14.76,21.35,25.71,,,,,,,,
2016-01-18,,,,,,,,,,,,,22.53,,,,,,,,,,18.58,14.76,21.35,25.71,,,,,,,,
2016-01-19,40.74,58.89,36.85,44.353065,17.15,12.5633,16.3077,64.5613,24.184,43.5811,25.3159,15.713643,22.58,,,,,,,,,,18.56,14.76,21.35,25.71,11.844435,31.898041,15.741280999999999,10.286254,15.6106,27.7842,57.1471,84.0875
2016-01-20,40.72,59.22,36.85,44.052273,17.278,12.3688,16.134,64.6528,24.2694,43.6601,25.414,15.63015,22.53,,,,,,,,,,18.41,14.65,21.32,25.75,11.879245,31.705833000000002,15.590878,10.214041,15.5492,27.8012,57.8297,83.07799999999997
2016-01-21,40.11,59.811,36.85,44.064172,17.278,12.237,16.1394,62.8361,24.2031,43.6731,25.4221,15.596534,22.81,,,,,,,,,,18.39,14.65,21.33,25.73,11.896647999999999,31.764318,15.774698,10.246135,15.5436,27.8002,57.2282,83.9385
2016-01-22,40.1382,60.51,36.36,44.371034,16.65,12.3878,16.3488,62.8883,24.2404,44.0421,25.857,15.672161,23.0,,,,,,,,,,18.5,14.72,21.21,25.87,12.392708,31.931461,15.975223000000002,10.326369999999999,15.2771,27.8418,55.9338,85.8309
2016-01-23,,,,,,,,,,,,,23.0,,,,,,,,,,18.5,14.72,21.21,25.87,,,,,,,,
2016-01-24,,,,,,,,,,,,,23.0,,,,,,,,,,18.5,14.72,21.21,25.87,,,,,,,,
2016-01-25,40.4121,60.8575,36.36,44.106645,16.65,12.4457,16.3266,63.8888,24.3166,43.8035,25.5741,15.655358999999999,22.88,,,,,,,,,,18.42,14.64,21.27,25.8,12.288274000000001,31.789403999999998,15.724569,10.214041,15.4422,27.8305,56.4209,85.0715
