,上市,上櫃,不動產,中國,中華民國,中長,丹麥,主動,主權債,亞洲,俄羅斯,債券,債市,全球,公債,公司債,公司股票,加拿大,南非,南韓,印尼,印度,國內,土耳其,墨西哥,外匯,外國,多元,大洋洲,大陸,安全,安定,專業,巴基斯坦,巴西,店頭,德國,憑證,挪威,捷克,新加坡,新興,日本,期貨,本國,槓桿型,權證,歐洲,法國,波動,泰國,澳洲,澳門,瑞典,瑞士,百分之七十,百分之九十,百分之二十,百分之五,百分之六十,百分之十,百分之四十,百慕達,盧森堡,短期,積極,紐西蘭,美國,美洲,股債,股市,股票,興櫃,英國,葡萄牙,被動,西亞,西班牙,誠信,證券,越南,連動型,選擇權,長期,開曼,阿根廷,韓國,香港,高收益債
上市,1.0,0.06274656248736503,0.001154269695979946,0.00012017047636650062,0.00781472433456211,0.010876012473195284,0.004626728746437801,0.0,0.0,0.0,0.0028111922660956565,0.02075674008145506,0.0,0.0018286325013239,0.0011039745015176965,0.02112130728037864,0.0014589614865371599,0.0,0.0005398092842354537,0.0,0.0,0.00048421717461587206,0.03199754081851589,0.0,0.0,0.0,0.002558709141295573,0.0,0.0,0.0,0.0006686485241190524,0.012051844798425646,0.013133224822125157,0.0,0.0,0.0,0.0,0.01667352329613252,0.0,0.0,0.0011813106178916286,0.0,0.0,0.01380275399573761,0.0,0.0,0.009955847420595791,0.02495595088777838,0.0,0.0,0.0,0.0,0.0,0.0,0.015816943123977786,0.027574661335556867,8.332106935520075e-05,0.0027425749466932136,0.0,0.01505391976391461,0.0022361407225584087,0.0,0.0,0.0,0.027194862798257703,0.0,0.0,0.0,0.0,0.0,0.36006540160184064,0.02486821734490962,0.0016201760186081112,0.0,0.0,0.0,0.0,0.0013882882206365983,0.04323880502108749,0.00762362048667896,0.0,0.0,0.000239227958027829,0.007374022478811588,0.0,0.0,0.0,0.0,0.0
上櫃,0.06274656248736503,0.9999999999999999,0.08569102637159548,0.005514117850246063,0.09007367261606264,0.01199650190777588,0.01701130825603519,0.0,0.0,0.0006782339285403041,0.001240324924836478,0.10898848236148291,0.0,9.681721867746191e-05,0.0029104779081042587,0.14657130959369485,0.0,0.025322993361057214,0.0007145070630390561,0.0,0.018179205001369794,0.00128184750211502,0.1550521232908667,0.0,0.020401194295369858,0.0,0.042045884192259186,0.0023412481524867734,0.0,0.03520208046977719,0.024612607113693948,0.05568030493022272,0.04918052281766037,0.0012457243469580978,0.0,0.011968543168735886,0.012582090082828519,0.1452189229992186,0.030733952193762955,0.011155182373113578,0.015462431233707356,0.0004887504741754655,0.005878091801445823,0.05290341219444281,0.05161429848046134,0.11048156783928806,0.057206150633277185,0.0,0.0253108231000278,0.0,0.005994238025015175,0.022402005517729136,0.0,0.029487647180946257,0.02977530299846272,0.08350674866276409,0.0015685142614226635,0.0072603018419799235,0.010076063393122017,0.10418287055203113,0.006218611812729293,0.0,0.009318483684079181,0.00892266734446927,0.0002652547683627971,0.0,0.007312097659247991,0.026155293300969423,0.02186734973045846,0.0,0.0,0.05509039921604821,0.13877372085415418,0.012690815499759117,0.008444435355883769,0.0,0.0,0.0031987471283961085,0.11141416889266112,0.10108303482558781,0.0014178772460989558,0.21931876917477885,0.00010554966397647119,0.03538983351612405,0.0,0.0,0.010331194373248831,0.00881656317393385,0.008608761385325198
不動產,0.001154269695979946,0.08569102637159548,1.0,0.04132731981985126,0.21169899792803623,0.01716350311301715,0.023168124342299555,0.0005049881439627294,0.0,0.009439194142134016,0.0284382054316475,0.15988712753443265,0.0,0.001735905468776186,0.0025016047838059712,0.35301008004705836,0.002833718425633292,0.11044485031516102,0.008256648165357405,0.04381214019377054,0.049804759156207634,0.012637801597721461,0.10164621562696807,0.05086409142590031,0.06325273344172339,0.0,0.10367176071005352,0.006119543341971831,0.03543200399699735,0.08164233585941161,0.00916051363440963,0.07442790712495173,0.09769524219952698,0.11101479534695533,0.04921280070801984,0.06514585301356518,0.0493305112783627,0.32680549536948156,0.021985670831721996,0.04078902962777853,0.10783874672131952,0.006115320607227512,0.045636025351356926,0.11469320879563133,0.027547172429640308,0.1434511905229876,0.19011056797187903,0.007601221761568504,0.10771254814626895,0.0,0.08234383442233882,0.02862520815255564,0.022107512410696212,0.04867874062947965,0.026880879401924886,0.0470188014224546,0.005043802327809298,0.0016646440875580598,0.02655495640473105,0.0502501948313756,0.018162563415488036,0.0,0.09049601765045862,0.05932796006851162,0.014416073034042437,0.0,0.04336009752668197,0.21566725813576923,0.02256188496599795,0.005734470712783755,0.0,0.14322634319387678,0.05926554181796222,0.13111120976217994,0.10741442325915902,0.0,0.019186988911827105,0.010055514552510119,0.26942662502957465,0.3516136694244315,0.0036572771411151617,0.06898921225522829,0.0,0.036859863837790156,0.07540961368009214,0.0754624890537013,0.08665330279044403,0.16726828893760926,0.011422683177735201
中國,0.00012017047636650062,0.005514117850246063,0.04132731981985126,1.0,0.015335045864586096,0.0,0.005043319883154856,0.0,0.0,0.016048772567227473,0.006469103764748458,0.04859838206410571,0.01655421332289455,0.0,0.0010458975828421483,0.03760825974288761,0.0025445224484275486,0.047741704145734,0.009571530629968622,0.0,0.008839268304770737,0.0008796935654899733,0.012810200820009329,0.009920759934372995,0.031123620312951787,0.005529211376526202,0.010716762786126072,0.0,0.0,0.08195387581773399,0.009398742083922338,0.04097261951792712,0.008741346366046461,0.03217172194672026,0.05834095236448278,0.02161064497499497,0.014609932278437598,0.035483855145300704,0.01862827007195253,0.002597982925704765,0.018714223786039225,0.004323976174448612,0.006671608078033213,0.00790800206459788,0.02042701423455235,0.0,0.002692036702276005,0.0,0.027678194210560766,0.02385031109984342,0.012129438342486473,0.028013475681267958,0.09533693015380099,0.01665173991176312,0.01241359367408303,0.014701219181274353,0.0010979528679453978,0.027802505120761708,0.0031962207473490104,0.06817797720433501,0.0025999819364196527,0.0,0.019101054815472147,0.008205301698962919,0.0,0.0,0.034799020689845084,0.015303927350185069,0.0,0.0,0.0,0.015307993209694077,0.0007535175831656759,0.024835332797971805,0.033231121435632706,0.0,0.010334504739847905,0.003026579672334096,0.025478310851945626,0.07136999397723452,0.0016347184667622327,0.0,0.0,0.02944984146946981,0.0361139536613602,0.025203994427618094,0.007580769514218379,0.16695151980766362,0.021314305625881474
中華民國,0.00781472433456211,0.09007367261606264,0.21169899792803623,0.015335045864586096,1.0,0.002164079347652249,0.04050701106581112,0.0,0.0,0.014953685423431024,0.011187267650402044,0.1458054284588702,0.004784558944204823,0.004104299243747612,0.0036665211862901815,0.29766345828508844,0.01238614118353005,0.24281778492508704,0.045112108243427484,0.020945554719213798,0.10330959530094652,0.003404303594245156,0.204490698243477,0.05028614160182552,0.25117522544774973,0.07086191153696554,0.14675921789766952,0.0,0.06721908143588598,0.02869923358281623,0.06173328027795215,0.06005691069066482,0.08539991986216498,0.06277161024892641,0.040905863766898004,0.07177645611505185,0.10355575056767825,0.2972238349565853,0.3112130478974736,0.1525255279347819,0.02334869436929388,0.0054019741300025724,0.048188813049952525,0.08746133144082245,0.1876593591098954,0.3080837265386676,0.07420256720896273,0.011917601172385923,0.04696871911709904,0.0,0.02136885929251065,0.10981060167438905,0.0024619518127877247,0.05461833946066373,0.03776654729878331,0.10343976638712744,0.0007073706455718219,0.0026148608725617066,0.013407948556136659,0.012861713249757193,0.004566265164327312,0.0,0.08306429098391947,0.08059090404234642,0.17124311285925667,0.0,0.019265040338192443,0.14476501789026078,0.009861766434784744,0.0,0.0,0.09242928652901812,0.030776373363821493,0.10196547909241838,0.14961110513724138,0.0,0.028450888935668876,0.006998024519395325,0.21904637999707963,0.29358580723903477,0.033623684970785675,0.18575530691013192,0.19538594121304173,0.032069254439402436,0.06475755736116766,0.05435585375637294,0.10964407637776113,0.1055215510039434,0.00013915378664174256
中長,0.010876012473195284,0.01199650190777588,0.01716350311301715,0.0,0.002164079347652249,1.0,0.0,0.0,0.0,0.0,0.0,0.019731065159304152,0.0,0.05236462415748647,0.0010756683774110253,0.01179230317090054,0.0,0.0,0.0,0.0,0.0,0.0,0.015479824379760039,0.0,0.0,0.0,2.5023713760423735e-05,0.0,0.009998267117203181,0.0,0.004774595388110716,0.006430441572859244,0.005452912014778666,0.0,0.0,0.0,0.0,0.011434692264800183,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.039323315374575334,0.0,0.0,0.0,0.0,0.0,0.031512595846527845,0.0,0.009018859895214127,0.0,0.0065692881061964825,0.0035653183086966386,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14934118229264506,0.010545089588207442,0.0,0.0,0.0,0.0,0.0,0.0,0.015956080769971626,0.004597264087608729,0.0,0.0,0.0,0.021472799647034562,0.0,0.0,0.0,0.0,0.0
丹麥,0.004626728746437801,0.01701130825603519,0.023168124342299555,0.005043319883154856,0.04050701106581112,0.0,0.9999999999999998,0.0,0.0,0.0,0.007865349448912087,0.02908382658912318,0.0,0.01473487294798087,0.06360592067890455,0.10775495620095753,0.0,0.05378726516970129,0.681152515633967,0.0,0.04415014007008061,0.00135477652434219,0.031790723273151696,0.06309208826037466,0.030321412488708125,0.0,0.014796905681730704,0.0,0.005671106636399699,0.0013695039161500655,0.0,0.01481757891353065,0.027128757966755568,0.014219260451323273,0.0,0.0172584628436016,0.10472121053057307,0.10877105932257353,0.007795804764045149,0.11354293460770046,0.039661837133604695,0.003542107114247461,0.10684300893094899,0.0,0.0,0.0,0.0,0.048241688788219966,0.09669774099418069,0.0,0.0515872172024035,0.091792116794511,0.0,0.3005226124538241,0.3097762129927315,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.016503043776657202,0.0,0.0,0.021964101557342394,0.08044105844649743,0.0,0.0,0.0,0.01652986821827861,0.01027489354128849,0.13183412497895486,0.010040479158343926,0.0,0.0016218450701628061,0.003884249442063476,0.07663672163500057,0.029708831782584478,0.0,0.0,0.0,0.003504041297414342,0.0,0.0,0.24714803527097198,0.00301306092646165,0.0
主動,0.0,0.0,0.0005049881439627294,0.0,0.0,0.0,0.0,1.0,0.0,0.00032225159560942323,0.0,0.09855105423023101,0.0,0.0,0.0,0.0001804169050511197,0.0,0.0,0.0,0.0,0.00041349961751847446,0.00045678642593147514,0.0,0.0,0.0,0.0,0.00017015622343230486,0.24065032618744708,0.0,0.0,0.0006407820172594753,0.002429206115614666,0.0015711315925463305,0.012074459104337078,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001209027142778648,0.0,0.0,0.0,0.0,0.0,0.0034243206138516607,0.0,0.2444117568530366,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00037889595238984236,0.0,0.0,0.00031131020242229016,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.002652334432295715,0.0,0.0,0.0,0.0012223179682921766,0.0,0.0,0.003499940058912911,0.00706940056060964,0.0010105212649499542,0.0,0.0,0.0034764457439952034,0.018941816116973195,0.0,0.0,0.0,0.0
主權債,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9999999999999999,0.0,0.0,0.20328219554974003,0.0,0.003982066696116406,0.0,0.003287940740097098,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04175573350981763,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.18820811316853361,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.020394647892442098,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03753125433803362,0.041884569112068164,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03699466006733954,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
亞洲,0.0,0.0006782339285403041,0.009439194142134016,0.016048772567227473,0.014953685423431024,0.0,0.0,0.00032225159560942323,0.0,1.0,0.008638195610373836,0.05373827972705489,0.037609581827867763,0.009813887874592217,0.0,0.006466886732977919,0.0,0.010489286472672022,0.002759885492673549,0.0,0.009422624349300773,5.626498749202088e-05,0.0,0.013597058652413547,0.0,0.0,0.0006955805238279258,0.1091785632695235,0.0,0.008796918499883264,0.0036553888060908077,0.007153208098387536,0.020291120655561053,0.14409118056280207,0.0,0.002716136373308134,0.0,0.007974914479659484,0.0,0.0,0.017020951336311752,0.061392501355964815,0.006744050019608708,0.0,0.0,0.0,0.0,0.11219696103351162,0.01901423238491867,0.0,0.0006013922016155923,0.027956150856189788,0.0043131578945491975,0.0,0.039208417101459045,0.00011997274895755293,0.002650641947223782,0.0,0.01316997774255109,0.011484694923207712,0.0,0.0042786150596467645,0.013497739873986128,0.0,0.0,0.0,0.0,0.004548352308474047,0.007601918296630052,0.0,0.0,0.001526492298466791,0.0,0.01486434422145909,0.01286710112672348,0.0,0.015985958017019786,0.0,0.021339824448989683,0.061790818100996577,0.0060991115150313725,0.0,0.0,0.0027700069575778605,0.00758280720657184,0.0,0.014989080925222642,0.0,0.06609882673686433
