,上市,上櫃,不動產,中國,中華民國,中長,丹麥,主動,主權債,亞洲,俄羅斯,債券,債市,全球,公債,公司債,公司股票,加拿大,南非,南韓,印尼,印度,國內,土耳其,墨西哥,外匯,外國,多元,大洋洲,大陸,安全,安定,專業,巴基斯坦,巴西,店頭,德國,憑證,挪威,捷克,新加坡,新興,日本,期貨,本國,槓桿型,權證,歐洲,法國,波動,泰國,澳洲,澳門,瑞典,瑞士,百分之七十,百分之九十,百分之二十,百分之五,百分之六十,百分之十,百分之四十,百慕達,盧森堡,短期,積極,紐西蘭,美國,美洲,股債,股市,股票,興櫃,英國,葡萄牙,被動,西亞,西班牙,誠信,證券,越南,連動型,選擇權,長期,開曼,阿根廷,韓國,香港,高收益債
上市,38702.0,2064.0,92.0,4.0,285.0,160.0,16.0,0.0,0.0,0.0,48.0,6869.0,0.0,200.0,54.0,1178.0,6.0,0.0,8.0,0.0,0.0,32.0,1577.0,0.0,0.0,0.0,269.0,0.0,0.0,0.0,56.0,355.0,2243.0,0.0,0.0,0.0,0.0,2340.0,0.0,0.0,8.0,0.0,0.0,621.0,0.0,0.0,86.0,220.0,0.0,0.0,0.0,0.0,0.0,0.0,80.0,2279.0,6.0,128.0,0.0,1688.0,66.0,0.0,0.0,0.0,1930.0,0.0,0.0,0.0,0.0,0.0,3330.0,5472.0,30.0,0.0,0.0,0.0,0.0,24.0,221.0,2286.0,0.0,0.0,8.0,683.0,0.0,0.0,0.0,0.0,0.0
上櫃,2064.0,27958.0,5805.0,156.0,2792.0,150.0,50.0,0.0,0.0,18.0,18.0,30655.0,0.0,9.0,121.0,6948.0,0.0,206.0,9.0,0.0,376.0,72.0,6495.0,0.0,160.0,0.0,3757.0,60.0,0.0,489.0,1752.0,1394.0,7139.0,15.0,0.0,376.0,80.0,17322.0,150.0,157.0,89.0,63.0,101.0,2023.0,839.0,3066.0,420.0,0.0,122.0,0.0,21.0,260.0,0.0,56.0,128.0,5866.0,96.0,288.0,324.0,9929.0,156.0,0.0,256.0,72.0,16.0,0.0,38.0,733.0,100.0,0.0,0.0,10303.0,2184.0,152.0,56.0,0.0,0.0,47.0,484.0,25762.0,24.0,328.0,3.0,2786.0,0.0,0.0,167.0,167.0,558.0
不動產,92.0,5805.0,164145.0,2833.0,15900.0,520.0,165.0,36.0,0.0,607.0,1000.0,108967.0,0.0,391.0,252.0,40547.0,24.0,2177.0,252.0,64.0,2496.0,1720.0,10317.0,1375.0,1202.0,0.0,22446.0,380.0,1152.0,2748.0,1580.0,4515.0,34362.0,3239.0,305.0,4959.0,760.0,94455.0,260.0,1391.0,1504.0,1910.0,1900.0,10627.0,1085.0,9646.0,3382.0,138.0,1258.0,0.0,699.0,805.0,628.0,224.0,280.0,8003.0,748.0,160.0,2069.0,11604.0,1104.0,0.0,6024.0,1160.0,2107.0,0.0,546.0,14645.0,250.0,132.0,0.0,64904.0,2260.0,3805.0,1726.0,0.0,818.0,358.0,2836.0,217134.0,150.0,250.0,0.0,7031.0,990.0,1778.0,3394.0,7677.0,1794.0
中國,4.0,156.0,2833.0,28628.0,481.0,0.0,15.0,0.0,0.0,431.0,95.0,13832.0,480.0,0.0,44.0,1804.0,9.0,393.0,122.0,0.0,185.0,50.0,543.0,112.0,247.0,120.0,969.0,0.0,0.0,1152.0,677.0,1038.0,1284.0,392.0,151.0,687.0,94.0,4283.0,92.0,37.0,109.0,564.0,116.0,306.0,336.0,0.0,20.0,0.0,135.0,1537.0,43.0,329.0,1131.0,32.0,54.0,1045.0,68.0,1116.0,104.0,6575.0,66.0,0.0,531.0,67.0,0.0,0.0,183.0,434.0,0.0,0.0,0.0,2897.0,12.0,301.0,223.0,0.0,184.0,45.0,112.0,18406.0,28.0,0.0,0.0,2346.0,198.0,248.0,124.0,3200.0,1398.0
中華民國,285.0,2792.0,15900.0,481.0,34366.0,30.0,132.0,0.0,0.0,440.0,180.0,45468.0,152.0,423.0,169.0,15644.0,48.0,2190.0,630.0,14.0,2369.0,212.0,9497.0,622.0,2184.0,1685.0,14539.0,0.0,1000.0,442.0,4872.0,1667.0,13744.0,838.0,116.0,2500.0,730.0,39307.0,1684.0,2380.0,149.0,772.0,918.0,3708.0,3382.0,9479.0,604.0,99.0,251.0,0.0,83.0,1413.0,32.0,115.0,180.0,8056.0,48.0,115.0,478.0,1359.0,127.0,0.0,2530.0,721.0,11452.0,0.0,111.0,4498.0,50.0,0.0,0.0,19165.0,537.0,1354.0,1100.0,0.0,555.0,114.0,1055.0,82956.0,631.0,308.0,6157.0,2799.0,389.0,586.0,1965.0,2216.0,10.0
中長,160.0,150.0,520.0,0.0,30.0,5592.0,0.0,0.0,0.0,0.0,0.0,2482.0,0.0,2177.0,20.0,250.0,0.0,0.0,0.0,0.0,0.0,0.0,290.0,0.0,0.0,0.0,1.0,0.0,60.0,0.0,152.0,72.0,354.0,0.0,0.0,0.0,0.0,610.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1120.0,0.0,0.0,0.0,0.0,0.0,990.0,0.0,160.0,0.0,280.0,40.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,525.0,882.0,0.0,0.0,0.0,0.0,0.0,0.0,31.0,524.0,0.0,0.0,0.0,756.0,0.0,0.0,0.0,0.0,0.0
丹麥,16.0,50.0,165.0,15.0,132.0,0.0,309.0,0.0,0.0,0.0,12.0,860.0,0.0,144.0,278.0,537.0,0.0,46.0,902.0,0.0,96.0,8.0,140.0,74.0,25.0,0.0,139.0,0.0,8.0,2.0,0.0,39.0,414.0,18.0,0.0,57.0,70.0,1364.0,4.0,168.0,24.0,48.0,193.0,0.0,0.0,0.0,0.0,38.0,49.0,0.0,19.0,112.0,0.0,60.0,140.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,0.0,0.0,12.0,237.0,0.0,0.0,0.0,325.0,17.0,166.0,7.0,0.0,3.0,6.0,35.0,796.0,0.0,0.0,0.0,29.0,0.0,0.0,420.0,6.0,0.0
主動,0.0,0.0,36.0,0.0,0.0,0.0,0.0,30961.0,0.0,9.0,0.0,29170.0,0.0,0.0,0.0,9.0,0.0,0.0,0.0,0.0,9.0,27.0,0.0,0.0,0.0,0.0,16.0,6490.0,0.0,0.0,48.0,64.0,240.0,153.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,164.0,0.0,0.0,0.0,0.0,0.0,27.0,0.0,16380.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,38.0,0.0,0.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,522.0,0.0,0.0,0.0,24.0,0.0,0.0,16.0,1896.0,18.0,0.0,0.0,288.0,108.0,0.0,0.0,0.0,0.0
主權債,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23865.0,0.0,0.0,52826.0,0.0,342.0,0.0,144.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5600.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22414.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1200.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1115.0,3688.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8711.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
亞洲,0.0,18.0,607.0,431.0,440.0,0.0,0.0,9.0,0.0,25193.0,119.0,14348.0,1023.0,866.0,0.0,291.0,0.0,81.0,33.0,0.0,185.0,3.0,0.0,144.0,0.0,0.0,59.0,2656.0,0.0,116.0,247.0,170.0,2796.0,1647.0,0.0,81.0,0.0,903.0,0.0,0.0,93.0,7512.0,110.0,0.0,0.0,0.0,0.0,798.0,87.0,0.0,2.0,308.0,48.0,0.0,160.0,8.0,154.0,0.0,402.0,1039.0,0.0,90.0,352.0,0.0,0.0,0.0,0.0,121.0,33.0,0.0,0.0,271.0,0.0,169.0,81.0,0.0,267.0,0.0,88.0,14949.0,98.0,0.0,0.0,207.0,39.0,0.0,230.0,0.0,4067.0
