,基金id,計價幣別,基金公司/總代理人,成立時間,基金規模,投資策略
0,F0000127UU:FO,新台幣,群益證券投資信託股份有限公司,2005/10/25,292百萬  截至 2019/03/21,基本投資方針經理公司應以分散風險、確保基金之安全，並積極追求中長期之投資利得及維持收益之安全為目標，以誠信原則及專業經營方式，將本基金投資於國內上市或上櫃股票、承銷股票、台灣存託憑證、證券投資信託基金受益憑證、政府債券、公司債（包含次順位公司債）、可轉換公司債、承銷中可轉換公司債、附認股權公司債、金融債券（包含次順位金融債券）、依金融資產證券化條例公開招募之受益證券或資產基礎證券、依不動產證券化條例募集之不動產投資信託受益證券或不動產資產信託受益證券、經金管會核准於國內募集發行之國外金融組織債券。並應依下列規範進行投資： (1)本基金於成立日起三個月後，投資於國內上市或上櫃股票、承銷股票、台灣存託憑證之總金額，不得低於本基金淨資產價值之百分之七十（70%）。
1,F0000127UU:FO,新台幣,群益證券投資信託股份有限公司,1999/06/05,"2,704百萬  截至 2019/03/21",經理公司應以分散風險、確保基金之安全，並積極追求中長期之投資利得及維持收益之安全為目標，以誠信原則及專業經營方式，將本基金投資於中華民國境內之上市或上櫃【群益創新科技基金2012Q4】JAAA2股票、承銷股票、上市受益憑證、債券換股權利證書、台灣存託憑證、政府公債、公司債(包括可轉換公司債)、金融債券及其他經財政部核准於國內募集發行之國外金融組織債券。原則上，本基金自成立六個月後，投資於上市、上櫃公司股票之總額不低於淨資產價值之百分之七十。 本基金投資從事於重要科技事業之上市、上櫃公司股票不得低於淨資產價值百分之六十。但依經理公司之專業判斷，在特殊情況下，得不受前述兩項比例（百分之七十及百分之六十）之限制。 1.前述所稱之重要科技事業，係指從事於或轉投資於電子、電腦、消費性電子、半導體、光電、關鍵性零組件、通訊、資訊、電信、國際網際網路產業、多媒體產業、精密器械與自動化、航太、高級材料、特用化學品與製藥、醫療保健、污染防治、資源開發、高級感測或其他經財政部會同主管機關認定之重要科技事業之上市、上櫃公司。
2,F0000127UU:FO,新台幣,群益證券投資信託股份有限公司,2006/05/25,"1,055百萬  截至 2019/03/21",基本投資方針經理公司應以分散風險、確保基金之安全，並積極追求中長期之投資利得及維持收益之安全為目標，以誠信原則及專業經營方式，將本基金投資於國內上市或上櫃股票、承銷股票、台灣存託憑證、證券投資信託基金受益憑證、政府債券、公司債(包含次順位公司債)、可轉換公司債、承銷中可轉換公司債、附認股權公司債、金融債券（包含次順位金融債券）、依金融資產證券化條例公開招募之受益證券或資產基礎證券、依不動產證券化條例募集之不動產投資信託基金受益證券或不動產資產信託受益證券、經金管會核准於國內募集發行之國際金融組織債券。並應依下列規範進行投資： (1)本基金於成立日起三個月後，投資於國內上市或上櫃股票、承銷股票、台灣存託憑證之總金額，不得低於本基金淨資產價值之百分之七十（70%）；且其投資於符合年稅後純益較上年度成長且為正值或連續二季稅後純益成長或當季稅後純益較上季成長20%以上之上市或上櫃公司股票，其投資總額不得低於本基金投資股票總額之百分之三十（30%）。但本基金終止前一個月或有下述(2)特殊情形者，為保障受益人之權益，得不受前述比例（70%）及（30%）之限制。
3,F0000127UU:FO,美元,群益證券投資信託股份有限公司,2016/03/22,0百萬  截至 2019/03/20,原則上，本基金自成立日起滿六個月后，投資于國內及國外股票（含承銷股票），存託憑證（含NADR)之總金額，不得低於本基金資產價值之百分之七十（70%）（含）。
4,F0000127UU:FO,新台幣,群益證券投資信託股份有限公司,1998/02/19,460百萬  截至 2019/03/21,經理公司應以分散風險、確保基金之安全，並積極追求長期之投資利得及維持收益之安定為目標。 以誠信原則及專業經營方式，將本基金投資於前述(八)所列之有價證券，並依下列規範進行投資： 1.本基金投資於實收資本額三十億以下之上市或上櫃公司股票，不得超過本基金淨資產價值之百分之三十(30%)(含)。 2.本基金投資上市及上櫃股票不得低於本基金淨資產價值之百分之七十(70%)(含)。 3.但依經理公司之專業判斷，在特殊情形下，為分散風險、確保基金安全之目的，得不受前述投資比例(百分之三十、百分之七十)(30%、70%)之限制。
5,F0000127UU:FO,新台幣,群益證券投資信託股份有限公司,1996/02/12,"1,872百萬  截至 2019/03/21",經理公司應以分散風險、確保基金之安全，並積極追求中長期之投資利得及維持收益之安定為目標。 以誠信原則及專業經營方式，將本基金投資於國內上市或上櫃股票、承銷股票、政府債券、公司債、可轉換公司債、金融債券及其他經金管會核准之投資項目。(1)本基金投資於國內上市、上櫃股票、承銷股票之總額，不得低於本基金淨資產價值之百分之七十(70%)(含)。 (2)本基金投資於實收資本額新臺幣捌拾億元以上之上市或上櫃股票，不得超過本基金淨資產價值之百分之三十(30%)(含)。
6,F0000127UU:FO,新台幣,群益證券投資信託股份有限公司,2016/03/22,0百萬  截至 2019/03/20,原則上，本基金自成立日起滿六個月后，投資于國內及國外股票（含承銷股票），存託憑證（含NADR)之總金額，不得低於本基金資產價值之百分之七十（70%）（含）。
7,F0000127UU:FO,離岸人民幣,群益證券投資信託股份有限公司,2016/03/22,0百萬  截至 2019/03/20,原則上，本基金自成立日起滿六個月后，投資于國內及國外股票（含承銷股票），存託憑證（含NADR)之總金額，不得低於本基金資產價值之百分之七十（70%）（含）。
8,F0000127UU:FO,新台幣,群益證券投資信託股份有限公司,1997/02/13,"3,076百萬  截至 2019/03/21",經理公司應以分散風險、確保基金之安全，並積極追求長期之投資利得及維持收益之安定為目標。 以誠信原則及專業經營方式，將本基金投資於前述(八)所列之有價證券，並依下列規範進行投資： 1.本基金投資於上市公司股票及證券投資信託基金之受益憑證、公司債（包括可轉換公司債）、換股權利證書、政府公債、金融債券或承銷股票之總金額，不得超過本基金淨資產價值之百分之四十(40%)(含)，惟於持有之上櫃股票轉上市時，就本基金於其上市日前持有之部分，於經理公司處分前，仍得併入前述比例之計算。
9,F0000127UU:FO,新台幣,群益證券投資信託股份有限公司,1996/08/20,"6,797百萬  截至 2019/03/21",經理公司應以分散風險、確保基金之安全，並積極追求中長期之投資利得及維持收益之安定為目標。 以誠信原則及專業經營方式，將本基金投資於國內上市或上櫃股票、承銷股票、政府債券、公司債、可轉換公司債、金融債券及其他經金管會核准之投資項目。(1)本基金投資於國內上市、上櫃股票、承銷股票之總額，不得低於本基金淨資產價值之百分之七十(70%)(含)。 (2)但依經理公司之專業判斷，在特殊情形下，為分散風險、確保基金安全之目的，得不受前述投資比例之限制。
