單詞	TF	DF	TF-IDF
投資	13690	2081	0.190968603
基金	12836	1721	0.611329103
證券	9249	1670	0.659174834
債券	8810	1506	0.878359002
本基	8508	1950	0.322494075
公司	7156	1705	0.60065446
資產	6887	1794	0.491684553
股票	3776	1042	1.545131856
價值	3366	1290	1.108517355
市場	3320	1010	1.587507877
國家	3314	997	1.612664513
基?	2974	513	2.886799711
地區	2871	897	1.795067531
受益	2755	759	2.109989051
發行	2708	1009	1.558343532
憑證	2626	1045	1.486364505
評等	2614	553	2.706599698
金融	2602	702	2.247896558
原則	2527	1715	0.533540264
收益	2459	1414	0.900114766
外國	2408	1254	1.126760419
機構	2184	919	1.701577209
不得	2148	917	1.702845497
低於	2126	1124	1.318544516
信託	2122	935	1.66423895
風險	2086	1600	0.653648474
管會	2052	961	1.607269813
之總	2034	1088	1.373599758
動產	2026	736	2.104110791
個月	2015	1143	1.280114168
信用	1812	520	2.722871492
前述	1785	919	1.667220442
日起	1679	1091	1.341989204
交易	1650	658	2.265740454
募集	1634	738	2.053518651
長期	1587	1398	0.881887387
指數	1580	620	2.364095148
方式	1523	1446	0.816811135
規定	1516	688	2.165029773
以上	1476	876	1.72161343
目標	1474	1447	0.812786099
政府	1458	1025	1.435362366
自成	1451	1081	1.33849972
追求	1374	1363	0.914311607
成立	1369	886	1.687726228
安定	1367	1328	0.960546486
順位	1358	660	2.214852333
額不	1343	714	2.071275796
於中	1314	871	1.711001932
承銷	1311	857	1.739566484
子基	1311	317	3.518047861
國內	1309	869	1.714424356
符合	1289	757	1.957942162
之國	1269	991	1.474693279
券之	1263	643	2.244454214
券或	1248	711	2.062779603
券及	1233	904	1.633452377
下列	1218	897	1.645122966
上市	1109	555	2.472094446
型基	1101	573	2.414147029
依下	1064	1053	1.341064782
其他	1062	797	1.827833148
國之	1058	656	2.167377423
保證	1023	701	2.04396795
高收	997	358	3.205228054
進行	991	884	1.634391148
相關	990	474	2.715726073
等級	986	471	2.725543871
公債	973	774	1.861294375
之受	948	671	2.102653895
基礎	936	629	2.211209866
於國	924	744	1.91890374
上櫃	909	546	2.447417263
限制	865	579	2.333756677
及其	827	729	1.930248953
評定	804	323	3.304819017
超過	795	552	2.392923763
組合	754	584	2.283921672
三個	735	644	2.113179863
屆滿	734	617	2.184761356
?融	731	216	3.945051021
商品	728	415	2.847948901
標的	718	438	2.753185742
三十	683	474	2.606152907
美國	670	465	2.632333982
公開	669	620	2.153943782
於前	665	543	2.372640717
國及	660	596	2.216119484
印度	654	171	4.282815885
所列	643	382	2.945225267
國際	640	595	2.211141467
總額	631	491	2.524625612
股權	621	415	2.797038731
包括	616	470	2.589623858
比例	613	377	2.950848974
受?	613	207	3.936993863
定收	605	382	2.92476482
係指	604	465	2.601347996
平均	601	457	2.628340665
之三	597	451	2.647996317
在國	581	496	2.484242734
收?	575	308	3.259259076
期間	573	423	2.740112449
股份	567	361	2.995150275
定之	565	453	2.624007532
可轉	554	471	2.554685664
貨幣	551	358	2.998789251
內之	549	516	2.403803903
香港	548	372	2.93460094
券總	546	443	2.649848199
之股	544	394	2.838888176
?得	516	238	3.634218355
主權	516	273	3.41299756
事業	515	384	2.862249888
存續	511	389	2.838803315
之公	508	317	3.166261265
中國	501	245	3.575099309
券為	499	360	2.955333425
之外	497	361	2.949486579
交?	495	246	3.563507354
債務	491	192	3.957394097
到期	481	176	4.08695588
外之	480	366	2.915434223
發?	474	240	3.584767093
所發	474	400	2.769300264
