單詞,TF,DF
基金,11973,1717
投資,9752,2037
債券,6974,1434
公司,6811,1691
證券,3692,1125
股票,3588,1042
市場,2861,925
價證券,2839,1390
受益,2769,758
價值,2618,1015
金融,2599,702
地區,2561,861
收益,2545,1440
淨資產,2528,955
原則,2506,1713
憑證,2184,967
不得,2161,917
機構,2153,890
資產,2091,912
發行,2070,889
國家,1970,684
總金額,1914,873
分散,1847,1545
信用,1829,528
前述,1798,921
經理,1745,1232
安全,1700,1478
專業,1696,1429
風險,1685,1291
募集,1652,738
核准,1578,877
評等,1558,396
方式,1522,1446
外國,1486,1080
日起,1480,1035
應以,1445,1402
證券化,1436,665
管會,1435,818
規定,1413,681
政府,1402,1019
目標,1400,1391
以上,1387,870
經營,1379,1369
安定,1376,1334
成立,1375,891
追求,1374,1363
順位,1357,660
確保,1315,1162
指數,1311,578
以誠信,1294,1294
符合,1292,757
交易,1268,594
百分之六十,1251,751
並積極,1245,1244
下列,1231,907
中華民國,1173,770
經金,1152,650
新興,1104,315
上市,1092,551
將本,1041,1036
不動產,1026,532
維持,1018,1018
投資利,1007,1007
進行,978,880
型基金,972,480
投資信,964,656
相關,959,461
基礎,941,631
保證,930,669
總額,899,565
限制,882,586
上櫃,874,548
公債,849,663
百分之七十,816,771
上本,813,746
及其,804,706
資產信,801,583
超過,798,548
國內,797,554
資產價值,761,354
規範,761,761
評定,740,323
六個,737,583
條例,704,391
基淨,699,304
組合,664,550
商品,664,408
組織,662,635
含承銷,640,481
中華民國境,627,538
印度,621,171
平均,620,481
轉換,617,523
包括,616,470
比例,613,377
含次,580,538
並依,576,576
期間,575,441
股份,572,361
固定,556,362
存續,551,429
香港,545,372
百分之三十,533,396
單位,526,344
證券及,501,431
股權,500,386
美國,499,385
情形,497,194
之外,497,361
承銷,496,405
事業,491,374
持有,481,316
等級,469,190
百分之十,465,369
貨幣,460,320
所在,458,369
招募,456,455
加權,451,432
店頭,442,220
特殊,438,231
公開,433,412
金管會,424,312
依不動產,411,411
滿三個,397,397
之國際,396,382
策略,393,269
主要,391,313
等等,388,308
任一,376,296
債附認,373,311
債含次,372,370
國或,371,290
債可,370,339
之國家,361,309
其他,357,309
法令,356,308
本基,354,291
判斷,352,320
本子,351,66
國內外,350,330
債務,349,192
及維持,345,344
目的,344,294
不受,339,296
保基,333,306
國境,330,329
投資本,328,328
風險確,327,301
銷售,323,281
日本,320,262
企業,320,268
新加坡,317,280
交易所,317,246
境外,316,252
產業,313,146
營業,311,173
外國子,309,172
特別,307,141
投資得,304,303
以及,303,258
全球,302,215
下述,301,113
一年,299,294
該國,297,262
管理,296,262
生效,296,244
上述,296,190
體資產,294,294
含後整,294,294
槓桿型,292,198
調整,290,195
短期,289,133
三個,289,253
將本基,287,287
反向,287,185
八所,286,285
自成,284,247
以下,283,182
權評,278,212
家主,278,212
含本,277,211
高收,273,73
發生,269,237
債含,265,223
股價,262,113
含且,261,255
之封,256,256
閉型,255,255
一個,255,241
印尼,253,204
修正,253,191
採取,250,250
債次,249,213
簡稱,248,106
配置,247,107
申報,247,211
規範進,246,246
經濟,244,185
集中,243,202
到期,242,122
頭市場,241,227
票券,241,117
所列,241,190
應達本,239,211
到期日,239,133
公司股票,239,201
中國,239,118
成分,237,96
英國,234,198
台灣存,231,212
海外,225,113
包含,225,156
發行評,221,105
所謂,221,216
銀行,220,119
並應,220,208
適當,216,210
所述,215,136
之不動產,214,209
以外,212,199
契約,211,200
之國,210,210
運用,209,103
投資標,207,108
之有,207,153
處置,206,206
依據,206,143
達級,200,87
一定,200,128
擔保,197,167
等級者,196,196
明書,194,173
依經理,192,185
含本數,190,103
債交換,190,160
滿六個,189,183
經管會,188,153
摩根,183,87
並依下,183,183
跌幅,182,71
之受,181,152
終止,180,179
基受,180,98
貨信,179,120
利率,177,101
放空,176,166
加拿大,176,163
百分之五十,175,163
具有,174,160
群島,173,97
提供,172,151
保持,172,160
附買,171,104
國有,171,169
債無擔,170,151
債券型,170,128
未達,169,157
分析,167,83
下為,163,162
最高,162,162
行人,161,147
最近,161,91
中國大陸,161,85
美元,160,146
之店,160,146
顯示,159,120
證券化條,158,156
債融,158,131
瑞士,157,152
條公開,156,156
亞洲,155,127
相當,153,149
澳洲,152,141
及存,150,129
西亞,149,132
匯率,149,81
前開,148,112
三十,147,104
本國,145,98
科技,142,67
債券及,141,141
挪威,140,138
保管,140,46
韓國,139,115
西班牙,139,136
比重,139,88
期債務,139,72
累計,137,64
漲幅,136,66
盧森堡,133,129
發展,133,117
整體,132,122
二本,132,132
瑞典,128,125
本國子,128,112
未經,127,71
投資高,126,85
之期,126,124
一本,126,126
融債券,125,123
百分之二十,125,73
由國家,124,121
穩定,123,78
當日,123,62
成長,122,94
大陸,122,87
降低,121,76
英屬,121,50
大利,121,119
因本,121,121
評等應,120,116
所稱,120,110
情況,120,104
以上者,120,120
認股權,119,90
計價,119,111
特定,119,119
含惟,119,119
決定,118,58
財政部,117,115
性質,116,107
越南,114,107
依融,114,114
葡萄牙,113,111
研究,113,56
列標,113,113
之日起,113,113
股息,111,55
發之國際融,111,111
歐洲,111,92
基本,111,99
可能,111,72
列入,111,61
主權,111,62
有約定,110,110
需故,109,109
避險,109,50
證券本,109,109
權證,109,87
國子,109,17
百分之九十,108,108
條件,108,24
有關,108,105
政策,107,88
操作,106,102
機會,105,52
證含,104,83
巴西,104,98
國店,104,104
第目,103,63
年度,103,42
掛牌,102,96
基之總額,102,49
地利,102,102
指本,101,101
存放,101,61
比利,100,99
債券定,100,100
母公司,99,52
多元,99,99
基投資,99,85
澳門,98,58
依動產,98,98
人民,98,84
所訂,97,97
工具,97,92
資訊系統,96,86
本目,96,51
債市,96,88
本國及,95,75
巴基斯坦,95,94
報酬,95,89
事由,95,95
證認,94,65
含自,93,81
南非,93,87
選擇,92,65
有價,92,78
是否,92,34
墨西哥,91,89
同時,91,68
調升,90,90
幣計價,89,87
之範圍,89,89
之一,89,73
至少,88,88
泰國,88,86
依下,87,87
五個,87,86
二年,86,76
開曼,85,85
百慕達,85,85
投資人,85,85
如因,85,81
區域,85,58
債承銷,85,83
中心,85,74
證及,84,71
債轉換,84,54
債及,84,69
日後若,83,83
南韓,83,82
債券發,83,79
發評,82,43
水準,82,33
比率,82,80
基本面,82,56
所承擔,81,75
存款,81,58
許可之範圍,80,80
並在,80,80
上限,80,80
醫療,79,38
變化,79,69
服務,79,67
彭博資訊,79,68
其中,79,79
重大,78,59
致使,78,78
能源,78,65
義時則,78,78
每季,78,43
得以,78,78
評估,77,49
發布,77,60
本款,77,64
參與,77,67
三年,77,77
設備,76,24
指示,76,41
總體,75,45
篩選,75,63
信評,75,52
並由國家,75,75
之長,74,74
等國,73,73
發之債券,73,69
依其,73,73
一致,73,73
逐年,72,39
百分之四十,72,65
時經理,72,72
建構,72,43
大洋洲,72,59
土耳其,72,69
國證券,72,61
他經,72,67
證券動產,71,69
經評定,71,39
未達金,71,41
人之長,71,71
貿易,70,37
計入,70,70
時本,70,69
成份,70,45
市值,70,16
密切,70,37
另類,70,69
系統,69,62
國德國,69,69
債券承銷,69,69
交市場,69,58
之國外,69,65
興櫃,68,62
由下而上,68,58
由上而下,68,58
應達,68,63
保健,68,41
不限,68,48
不在此限,68,68
買入,67,67
美洲,67,67
結構,67,66
捷克,67,65
情事,67,60
受惠,67,65
匯換,67,21
動產,67,63
內及,67,65
債券換,67,62
債券且,67,67
俄羅斯,67,62
股利,66,22
繼續,66,66
紐西蘭,66,62
本點,66,22
所保證,66,66
惟不計入,66,66
外匯,66,58
受償,66,66
及標,66,65
具優先,66,66
其屬,66,66
債未經,66,66
債券該,66,66
不同,66,36
開說,65,65
百分,65,20
所定,65,53
重要,64,30
短天期,64,64
流動,64,64
惟資產,64,64
天期,64,64
商品交易,64,36
前款,64,63
公債且,64,64
債券者,64,64
之動產,64,62
透過,63,51
用以,63,63
價格,63,47
配息,62,14
誠信,62,62
經紀,62,18
滿個,62,62
預期,61,61
該國家,61,61
地區者,61,61
因公,61,61
債券經,61,60
阿根廷,60,60
級者,60,60
為主,60,60
波動,60,46
法國,60,59
每個子,60,60
內不受,60,60
之新興,60,60
連動型,59,59
禁止,59,59
成分股,59,29
參考,59,45
價證券本,59,58
中央,59,48
集團,58,44
資本,58,46
美國德國,58,53
大地,58,40
團隊,58,44
中長,58,58
認購售,57,57
結標,57,57
為連,57,57
外幣間,57,21
基及,57,48
單日,57,51
危機,57,57
丹麥,57,57
聚焦,56,46
現金,56,53
期貨信,56,56
投資項,56,56
或合計,56,28
管制,55,51
正常,55,55
完全,55,46
事件,55,55
趨勢,54,24
股市,54,54
期貨,54,26
指標,54,26
投資級,54,54
伊斯,54,9
開發,53,38
辦法,53,53
資產種類,53,53
範圍,53,51
百分之五,53,52
日後因,53,53
影響,53,53
建設,53,19
展望,53,30
如有關,53,53
關法,52,48
運動,52,2
情勢,52,46
定期,52,47
國外,52,44
轉投資,51,33
購售,51,51
資源,51,49
證券櫃,51,51
股及,51,45
景氣,51,17
所發,51,46
或動產,51,51
債可交換,51,38
債券本,51,45
作為,51,31
交換,51,36
選擇權,50,32
核心,50,20
有限公司,50,40
戰術,50,10
原投資,50,50
電子,49,40
部分,49,49
衍生,49,35
藉由,49,45
經紀商,49,19
積極,49,49
發行量,49,35
戰爭,49,49
含指,49,49
各國,49,41
匈牙利,49,48
之國家評,49,49
目之資產,48,48
外本,48,44
來源,48,47
交所,48,48
之興櫃,48,48
資產之運,47,47
處理,47,42
為限,47,47
基原,47,47
含其餘,47,47
匯市,47,47
以國內,47,47
規模,46,46
狀況,46,46
智慧,46,9
投資該,46,46
埃及,46,44
前項,46,44
低估,46,46
交割,46,20
亞太地區,46,24
非洲,45,45
起個,45,45
認可,45,45
第款,45,33
斯里蘭卡,45,44
成日,45,45
印度政府,45,33
五年,45,43
部位,44,25
證基,44,32
攻擊,44,44
恐怖,44,44
如政變,44,44
以達,44,44
類主權債,43,39
違約,43,28
西斯,43,43
芬蘭,43,43
發行國,43,43
投資方針,43,43
循環,43,25
各主權,43,39
及國,43,43
前者,43,39
利證書,43,39
債券融,43,39
債券後者,43,39
主權債,43,39
非高,42,42
通訊,42,38
詳如,42,42
評等達,42,41
荷蘭,42,41
投資範圍,42,42
存單,42,37
大通,42,22
國際,42,33
七十,42,17
違反本,41,41
總回,41,41
社會,41,41
此外,41,41
智利,41,41
工業,41,36
報為,41,41
含特別,41,36
匯票,41,37
債券國際,41,41
開資產,40,40
營運,40,26
權及,40,34
或標,40,40
往來,40,37
對象,40,40
實施,40,40
外國國家,40,40
增加,40,32
回交,40,27
列之有,40,40
兌人,40,40
之定,40,40
非屬,39,39
趨向,39,39
結束,39,39
程度,39,39
控制,39,36
可轉,39,37
主動,39,29
一般,39,39
需要,38,34
維爾京,38,38
現款,38,20
灣存,38,36
投資達本,38,21
投資國家,38,38
投資區域,38,38
基資產,38,20
另有,38,30
修改,38,38
事項,38,38
高流動性,37,37
設定,37,33
蒙古,37,37
自動化,37,31
股承銷,37,32
投資本基,37,37
技術,37,27
希臘,37,37
國家及,37,26
單一,37,37
匯遠期,37,21
中央政府,37,37
韓馬來,36,36
考量,36,27
從事,36,27
型基,36,25
含後應,36,36
價證券經,36,36
之銀行,36,36
阿拉伯,35,24
資訊,35,32
規定經,35,35
英國法,35,34
檢視,35,35
本票,35,33
政治,35,35
指中國,35,35
投資于,35,31
外相,35,35
國庫券,35,33
含所稱,35,35
內外,35,34
債經金,35,35
債券次,35,35
債券子,35,11
不可抗力,35,35
證參,34,34
波蘭,34,34
決策,34,14
比亞,34,19
模式,34,34
及公營,34,32
中小型,34,24
並以,34,31
三經理,34,34
雙邊,33,33
限且,33,33
西亞菲律賓,33,33
經貿往,33,33
範疇,33,33
第點,33,33
百分之九十五,33,33
灣證券,33,33
涵蓋,33,33
注意,33,33
暫停,33,33
工商部,33,33
基得,33,31
國股,33,33
國且,33,33
各子,33,5
項目,32,31
貨幣型,32,20
財團,32,32
立即,32,32
獲得,32,32
法人,32,32
提升,32,32
所屬,32,18
同意,32,32
創新,32,23
事證券,32,18
之資產並,32,32
之中,32,32
不入,32,16
下本,32,32
購售權,31,27
荷蘭義,31,31
穩健,31,21
消費,31,24
汽車,31,10
支付,31,23
或存,31,27
年限,31,31
將隨著,31,31
債為,31,30
之子,31,27
不低,31,31
華民國,30,30
由新興,30,30
本項,30,30
投資為,30,30
投外,30,5
恩島,30,30
實收,30,25
奧地,30,28
增長,30,26
公用,30,20
八之有,30,26
全部,30,30
內證券,30,30
以色列,30,29
之證券,30,29
雙元,29,29
結合,29,29
組合型,29,17
發人,29,29
法規,29,29
比時,29,27
會員國,29,29
普通股,29,29
政治性,29,29
建立,29,29
導致,29,26
審慎,29,29
大部分,29,29
四經理,29,29
含本基,29,29
個別,29,29
以達本,29,29
交應,29,15
交之債券,29,22
世界,29,24
需達本,28,28
資本額,28,19
資料,28,28
證期,28,28
網路,28,21
相對,28,28
當地,28,26
澳大利,28,28
最佳,28,28
投資團隊,28,26
所得,28,20
外地,28,24
因此,28,28
列國,28,28
八之國,28,28
亞太國家,28,28
之規定,28,28
階段,27,16
資產種,27,27
若因,27,27
組成,27,22
為目,27,27
檢視後三個,27,27
指信,27,27
投資顧,27,27
因素,27,21
債經,27,27
達本,26,15
進交並,26,26
英國及,26,23
經濟性,26,26
生物科技,26,13
效率,26,26
所有,26,26
憑證存,26,26
德國,26,24
如下,26,26
韓國馬來,25,25
財務,25,25
證公債,25,25
蘭國家,25,5
著重,25,19
統計,25,25
管理所,25,10
監控,25,25
機關,25,24
月後應,25,25
方法,25,16
惟如,25,25
年月日,25,7
多元化,25,24
充分,25,25
人工智慧,25,11
主管,25,24
造成,24,24
負面,24,14
設立,24,24
設施,24,14
發國,24,24
獲利,24,21
收證券,24,24
收益率,24,18
愛爾蘭法,24,24
希臘丹麥,24,24
場交,24,24
基並,24,24
地位,24,24
分配,24,12
具優,24,12
先擔,24,12
債券國,24,24
保性質,24,12
顧問,23,23
適度,23,23
進並,23,23
逐一,23,23
評鑑,23,19
要求,23,23
西亞泰國,23,23
被動,23,23
致本,23,23
考總體,23,23
總經,23,23
第八,23,23
生日,23,23
潛力,23,23
準則,23,13
法國奧,23,23
時機,23,23
時冰島,23,23
於經,23,20
推介,23,23
挑選出,23,23
持券,23,23
投資主軸,23,23
強度,23,23
地涵,23,23
地域,23,23
四步,23,23
嚴密,23,23
問事業,23,23
台幣,23,18
可達致,23,23
半導體,23,20
動能,23,23
券商,23,23
其合,23,23
優化,23,23
優勢,23,9
之高,23,23
之金額,23,23
並非,23,23
並討論,23,23
並且,23,23
頭市,22,22
零售,22,13
金額,22,22
觀察,22,22
菲律,22,22
英國德國,22,21
聯合,22,21
義時,22,22
經濟體,22,16
級致,22,22
第一款,22,22
科威特,22,22
發之,22,20
當時,22,19
當性質,22,22
營收,22,11
提高,22,22
子基,22,21
大公,22,21
型子,22,20
含以,22,18
億元,22,20
依經,22,22
依前,22,22
亞紐,22,22
靈活,21,21
附錄,21,21
遵守,21,21
週期,21,11
西蘭,21,21
經濟表現,21,21
污染,21,21
標經,21,21
材料,21,21
未來,21,19
更新,21,21
掌握,21,21
彈性,21,17
境內,21,21
含公債,21,19
公告,21,21
點心,20,10
防治,20,20
部門,20,18
適時,20,20
辦理,20,18
起三個,20,20
資產類,20,20
變動,20,20
該子,20,9
致違,20,20
股存,20,19
股價格,20,10
總體面,20,10
系列,20,12
精密,20,19
環境,20,19
瑞拉,20,20
流程,20,10
流動性,20,20
每個,20,20
此限融,20,20
概念,20,16
本基得,20,20
會議,20,20
最終,20,10
最新,20,20
日後屆,20,20
故本,20,20
指數化,20,14
指下,20,20
幣對,20,20
子基且,20,20
外融,20,20
基自,20,16
困難,20,10
及期,20,20
卡達,20,20
占本,20,20
公布,20,17
債券型子,20,20
依本,20,19
以色,20,20
不計入,20,20
一八,20,20
一之有,20,20
證證券,19,19
股債,19,19
第二款,19,19
第三,19,19
第一,19,13
發之證券,19,19
現貨交為,19,19
特用,19,19
整將,19,19
投資應,19,19
或證,19,19
應委,19,19
實際,19,18
天災,19,19
外上,19,19
增值,19,19
基為,19,17
基基,19,19
合計,19,16
受益人,19,19
及屬,19,19
六十,19,18
債債券換,19,19
之資產,19,15
之並,19,19
且經,19,19
一經理,19,19
零組件,18,17
開證券,18,18
週轉率,18,18
輔以,18,18
較佳,18,14
軟體,18,14
走勢,18,18
賓泰國,18,18
說明,18,14
詳如公開,18,12
規定委,18,18
股預,18,6
烏圭,18,18
消費性,18,18
泰國菲律賓,18,16
每會計,18,12
權性質,18,18
本利,18,18
最佳化,18,11
旨在,18,18
指前,18,18
投資期,18,18
投資前,18,18
應行,18,18
感測,18,18
愛爾蘭,18,18
尼西,18,18
尋求,18,18
天然,18,16
均須,18,18
商資格者,18,18
含有,18,15
即將,18,18
匈牙,18,18
利用,18,18
別間,18,12
具股,18,18
債所謂,18,18
保障,18,18
依新興,18,18
估值,18,6
他具,18,9
事前,18,18
不含,18,18
類型,17,17
隨時,17,17
達到,17,17
著名,17,16
菲律賓,17,17
致影響,17,17
能力,17,17
股東,17,17
義之新興,17,17
篩選具,17,17
由外,17,17
特色,17,17
特性,17,17
無法,17,17
烏克蘭,17,17
櫃之次,17,9
機械,17,17
收型,17,16
投資效,17,17
愛爾蘭義,17,17
幣計,17,17
大型,17,17
增資,17,14
國國家,17,17
含換,17,17
各經濟體,17,17
區之,17,17
匯換利,17,17
利差,17,17
利及,17,17
再經,17,17
其企業,17,17
債券外,17,17
二經理,17,17
中國境,17,13
中個,17,17
不可,17,17
一籃子,17,17
高級,16,15
隨著,16,8
重點,16,10
配合,16,16
質化,16,12
財政,16,16
證合計,16,16
認定,16,15
觀察名,16,10
荷蘭芬蘭義,16,16
股為,16,16
維京,16,16
第四款,16,10
用品,16,14
產品,16,15
波動性,16,16
決議,16,16
此限,16,16
歐元區,16,16
機器,16,13
模里,16,16
標準,16,14
業務,16,14
森堡,16,14
普通,16,16
接近,16,8
挑選,16,10
投資除,16,16
或者,16,16
愛爾蘭澤西島,16,16
從事換,16,16
平台,16,13
將視,16,16
媒體,16,16
在外,16,16
國基管,16,16
因指,16,16
含二,16,16
各種,16,12
反本基,16,16
利害,16,16
克斯,16,16
債依,16,16
保本,16,8
俄斯,16,14
佣金,16,16
低本,16,16
之貨幣,16,16
之目,16,16
一季,16,16
辛巴威,15,15
衰退,15,15
航太高級,15,15
自貨幣,15,15
自有,15,15
股指,15,9
網站,15,5
穆迪,15,14
研判,15,9
目前,15,11
現貨,15,15
為級,15,14
波動度,15,9
東南亞國,15,3
新能源,15,11
搭配,15,15
投資組,15,9
愛爾義大,15,15
委內瑞,15,15
基從,15,15
因實施,15,15
因子,15,7
器械,15,15
哥倫比亞,15,15
合股,15,9
合作,15,10
台灣,15,13
出現,15,15
僅限,15,15
債或融,15,15
債券以,15,15
以致,15,15
之存,15,15
之前,15,15
一營業,15,15
電腦,14,11
證經,14,14
證書融,14,14
評機,14,14
計算,14,13
計漲,14,7
表現,14,14
融市場,14,14
藉此,14,14
股認,14,14
群島模,14,14
私募,14,14
百分之六十五,14,12
發之國,14,14
生活,14,5
浮動,14,14
歐盟,14,14
機場,14,9
構評,14,14
最低,14,11
更替,14,14
時證券,14,14
時得委,14,14
數位,14,7
投資國,14,14
投資利得,14,14
投資以,14,14
成熟,14,14
成份股,14,14
得分,14,14
工程,14,11
實境,14,7
委內,14,14
國際融,14,14
國貨幣,14,14
因有,14,14
商五經,14,14
含所謂,14,14
含所,14,14
各類,14,12
另經理,14,14
及亞,14,14
即本,14,12
半年度,14,13
六經,14,14
八原則,14,14
價有,14,14
債券存,14,14
停交,14,14
三本,14,14
食品,13,12
需求,13,13
關鍵性,13,12
關產業,13,8
針對,13,7
適宜,13,13
遠期,13,9
資金,13,13
衡量,13,13
荷森堡,13,13
肯亞模,13,13
聯網,13,13
美國者,13,9
美國及,13,9
網際,13,13
維亞斯伐克,13,13
組合以,13,13
級經,13,13
納米,13,13
管會洽,13,13
研發,13,13
知名,13,7
當債券,13,13
申購,13,10
物料,13,13
烏克陶,13,13
澳大亞西,13,13
準本,13,13
泰國馬來,13,9
波札,13,13
比亞摩納,13,13
標以,13,13
智等亞洲,13,13
普斯脫,13,13
改變,13,13
投資金額,13,13
愛沙尼亞,13,13
幅度,13,13
希波,13,13
巴嫩,13,13
宛克,13,13
孟加拉,13,12
外以,13,13
地亞,13,13
國及,13,13
喬治亞馬爾,13,13
哥馬尼亞,13,13
哈薩,13,13
含美國,13,13
及經,13,13
印菲賓,13,13
出者,13,13
共和,13,13
保加,13,13
俄斯百慕,13,13
但須,13,13
亞迦納尚,13,13
亞摩哥爾維亞賽,13,13
頻率,12,12
開放式,12,12
配發,12,12
部份,12,12
還債券,12,12
選名,12,6
選出,12,12
迄恢,12,12
買回,12,12
貨選擇,12,8
調資,12,6
評價,12,12
訴求,12,12
計量,12,6
規劃,12,6
與國,12,12
股標,12,12
股性質,12,6
股之有,12,12
聯博集團,12,4
而將,12,12
經信,12,6
經下,12,12
絲路,12,4
終之次,12,12
終之日止,12,6
累積,12,12
第十四,12,6
程序,12,6
移動,12,12
登記,12,12
由亞洲,12,6
生物工程,12,10
涉險,12,12
波動率,12,11
泛太平洋,12,3
池中,12,12
比經理,12,12
模型,12,6
構本,12,12
本息,12,12
未獲,12,12
未個,12,6
期限,12,12
期資本,12,12
最後篩,12,12
最後一個,12,8
整合,12,12
抵押,12,6
應用,12,12
惟應,12,12
對償,12,12
將各子,12,12
季度,12,12
契機,12,12
報表營運,12,12
國等國,12,12
回權,12,12
含除,12,12
合稱,12,12
可累積,12,12
受利,12,4
及當,12,12
及亞洲,12,12
原始,12,12
十投資,12,12
匯出,12,12
化學,12,12
前目,12,6
利買,12,12
具體,12,12
具特別,12,6
其納入,12,12
六大,12,6
公正,12,6
債以,12,12
保險,12,12
依標,12,12
位置,12,8
企業債,12,12
人工智能,12,4
交所及,12,8
事本項,12,12
之風險,12,12
之股,12,12
之產業,12,12
之亞洲,12,12
中建,12,12
並獲取,12,12
三檔子,12,3
一起,12,12
一經,12,12
一步,12,12
零件,11,5
關本,11,11
金融工具,11,11
醫院,11,7
選股,11,7
連續,11,11
通路,11,7
逐步,11,11
轉型,11,11
賓馬來,11,11
證書,11,10
詳如本,11,11
評等者,11,11
融資產,11,11
融債券經,11,11
英國義,11,11
芬蘭法,11,11
股本,11,11
納入,11,11
目標本,11,11
發行並,11,11
生產,11,11
法國德國,11,10
沙烏地,11,11
每月,11,9
每年,11,8
歐美,11,11
權益者,11,11
櫃並,11,11
柬埔寨,11,10
收資本額,11,6
擴張,11,11
採用,11,9
指美國德國,11,11
快速,11,11
工業國,11,11
將該,11,11
定為,11,11
如有,11,11
契約者,11,11
報告,11,11
國前,11,11
名稱,11,6
反之,11,11
區之有,11,11
初次,11,9
債或,11,11
健康,11,9
人將,11,11
二外,11,11
主並,11,11
中屬,11,11
中國大,11,9
不佳,11,11
黎巴嫩,10,10
高度,10,10
高動性,10,10
類屬,10,10
預扣,10,10
適用,10,10
適合,10,10
達成,10,10
運動賽,10,2
輔助,10,10
趨緩,10,10
超賣,10,10
資訊以,10,10
財報,10,10
財務風險,10,10
負值,10,10
貝萊德,10,5
豐收,10,10
諸如景氣,10,10
調降,10,10
角度,10,10
觀察國際,10,10
要件,10,10
表所載,10,10
藍籌,10,10
落入,10,10
萊新興,10,10
能量,10,10
股如,10,10
股其,10,10
股作,10,10
義為,10,10
經第點,10,10
統計誤,10,10
結合本,10,10
約旦,10,10
範疇並,10,10
稅賦,10,10
稅款,10,10
相關者,10,10
相關性,10,10
相較,10,9
異動,10,10
生化,10,10
獲機會,10,10
特許,10,10
減持,10,10
清單,10,10
流通,10,10
水平,10,10
此類,10,10
正在,10,10
權益數,10,10
機動,10,10
業者,10,4
本金,10,6
期表現,10,10
期性,10,10
有利於,10,10
會產生,10,10
最後依,10,10
暫時性,10,10
時點,10,10
時間,10,10
時將,10,10
施政,10,10
收斂,10,10
搜尋出稅,10,10
投資機,10,10
所需,10,10
所課,10,10
惟資料,10,10
惟此類,10,10
徵的,10,10
微觀,10,10
循環階段,10,10
彭博,10,10
強破產,10,10
延滯,10,10
廣泛,10,10
幣債券,10,10
巴克,10,10
屬集團,10,5
屬企業子,10,5
專家,10,10
將特別,10,10
將會,10,10
宏觀,10,10
如景氣,10,10
大數據,10,7
多位,10,10
基所,10,10
基因工程,10,8
基信,10,10
執行,10,10
國家者,10,10
國之有,10,10
嚴謹,10,10
含新興,10,10
含可,10,10
同步,10,10
可能性,10,10
另一方面,10,10
取樣,10,10
取得,10,10
及貝萊德,10,5
及大陸,10,10
及動產,10,10
原因,10,10
協助,10,10
匯避險,10,7
化學品,10,10
動態,10,10
利證,10,9
利基,10,10
別國家,10,10
分類,10,9
兼顧,10,10
其餘資產,10,10
共同,10,10
優異,10,10
儀器,10,2
價關,10,10
債券分,10,10
依此,10,10
依景氣,10,10
依循,10,10
使特別,10,10
以確,10,10
以期,10,10
人口,10,3
交通,10,10
交之受,10,10
互聯網,10,10
之運,10,10
之發,10,10
之營,10,5
之標,10,10
之承銷,10,8
