單詞,種類
基金,
投資,
債券,TYP
公司債,TYP
證券,TYP
股票,TYP
市場,
價證券,
受益,
價值,
金融,
地區,
收益,
淨資產,
原則,
憑證,TYP
不得,
機構,
資產,
發行,
國家,
總金額,
分散,
信用,
前述,
經理,
安全,STY
專業,STY
風險,
募集,
核准,
評等,
方式,
外國,
日起,
應以,
證券化,
管會,
規定,
政府,
目標,
以上,
經營,
安定,STY
成立,
追求,
順位,
確保,
指數,
誠信,STY
符合,
交易,
百分之六十,STY
積極,STY
下列,
中華民國,LOC
經金,
新興,STY
上市,TYP
將本,
不動產,
維持,
投資利,
進行,
型基金,
投資信,
相關,
基礎,
保證,
總額,
限制,
上櫃,TYP
公債,TYP
百分之七十,STY
上本,
及其,
資產信,
超過,
國內,
資產價值,
規範,
評定,
六個,
條例,
基淨,
組合,
商品,
組織,
含承銷,
中華民國境,
印度,LOC
平均,
轉換,
包括,
比例,
含次,
並依,
期間,
股份,
固定,
存續,
香港,LOC
百分之三十,
單位,
證券及,
股權,
美國,LOC
情形,
之外,
承銷,
事業,
持有,
等級,
百分之十,STY
貨幣,
所在,
招募,
加權,
店頭,TYP
特殊,
公開,
金管會,
依不動產,
滿三個,
之國際,
策略,
主要,
等等,
任一,
債附認,
債含次,
國或,
債可,
之國家,
其他,
法令,
本基,
判斷,
本子,
國內外,
債務,
及維持,
目的,
不受,
保基,
國境,
投資本,
風險確,
銷售,
日本,LOC
企業,
新加坡,LOC
交易所,
境外,
產業,
營業,
外國子,
特別,
投資得,
以及,
全球,LOC
下述,
一年,
該國,
管理,
生效,
上述,
體資產,
含後整,
槓桿型,STY
調整,
短期,STY
三個,
將本基,
反向,
八所,
自成,
以下,
權評,
家主,
含本,
高收,
發生,
債含,
股價,
含且,
之封,
閉型,
一個,
印尼,LOC
修正,
採取,
債次,
簡稱,
配置,
申報,
規範進,
經濟,
集中,
到期,
頭市場,
票券,
所列,
應達本,
到期日,
公司股票,TYP
中國,LOC
成分,
英國,LOC
台灣存,
海外,
包含,
發行評,
所謂,
銀行,
並應,
適當,
所述,
之不動產,
以外,
契約,
之國,
運用,
投資標,
之有,
處置,
依據,
達級,
一定,
擔保,
等級者,
明書,
依經理,
含本數,
債交換,
滿六個,
經管會,
摩根,
並依下,
跌幅,
之受,
終止,
基受,
貨信,
利率,
放空,
加拿大,LOC
百分之五十,
具有,
群島,
提供,
保持,
附買,
國有,
債無擔,
債券型,TYP
未達,
分析,
下為,
最高,
行人,
最近,
中國大陸,LOC
美元,
之店,
顯示,
證券化條,
債融,
瑞士,LOC
條公開,
亞洲,LOC
相當,
澳洲,LOC
及存,
西亞,LOC
匯率,
前開,
三十,
本國,LOC
科技,
債券及,
挪威,LOC
保管,
韓國,LOC
西班牙,LOC
比重,
期債務,
累計,
漲幅,
盧森堡,LOC
發展,
整體,
二本,
瑞典,LOC
本國子,
未經,
投資高,
之期,
一本,
融債券,
百分之二十,STY
由國家,
穩定,
當日,
成長,
大陸,LOC
降低,
英屬,
大利,
因本,
評等應,
所稱,
情況,
以上者,
認股權,
計價,
特定,
含惟,
決定,
財政部,
性質,
越南,LOC
依融,
葡萄牙,LOC
研究,
列標,
之日起,
股息,
發之國際融,
歐洲,LOC
基本,
可能,
列入,
主權,
有約定,
需故,
避險,
證券本,
權證,
國子,
百分之九十,STY
條件,
有關,
政策,
操作,
機會,
證含,
巴西,LOC
國店,
第目,
年度,
掛牌,
基之總額,
地利,
指本,
存放,
比利,
債券定,
母公司,
多元,
基投資,
澳門,LOC
依動產,
人民,
所訂,
工具,
資訊系統,
本目,
債市,
本國及,
巴基斯坦,LOC
報酬,
事由,
證認,
含自,
南非,LOC
選擇,
有價,
是否,
墨西哥,LOC
同時,
調升,
幣計價,
之範圍,
之一,
至少,
泰國,LOC
依下,
五個,
二年,
開曼,LOC
百慕達,LOC
投資人,
如因,
區域,
債承銷,
中心,
證及,
債轉換,
債及,
日後若,
南韓,LOC
債券發,
發評,
水準,
比率,
基本面,
所承擔,
存款,
許可之範圍,
並在,
上限,
醫療,
變化,
服務,
彭博資訊,
其中,
重大,
致使,
能源,
義時則,
每季,
得以,
評估,
發布,
本款,
參與,
三年,
設備,
指示,
總體,
篩選,
信評,
並由國家,
長期,STY
等國,
發之債券,
依其,
一致,
逐年,
百分之四十,STY
時經理,
建構,
大洋洲,LOC
土耳其,LOC
國證券,
他經,
證券動產,
經評定,
未達金,
人之長,
貿易,
計入,
時本,
成份,
市值,
密切,
另類,
系統,
德國,LOC
債券承銷,
交市場,
之國外,
興櫃,TYP
由下而上,
由上而下,
應達,
保健,
不限,
不在此限,
買入,
美洲,LOC
結構,
捷克,LOC
情事,
受惠,
匯換,
動產,
內及,
債券換,
債券且,
俄羅斯,LOC
股利,
繼續,
紐西蘭,LOC
本點,
所保證,
惟不計入,
外匯,
受償,
及標,
具優先,
其屬,
債未經,
債券該,
不同,
開說,
百分,
所定,
重要,
短天期,
流動,
惟資產,
天期,
商品交易,
前款,
公債且,
債券者,
之動產,
透過,
用以,
價格,
配息,
誠信,
經紀,
滿個,
預期,
該國家,
地區者,
因公,
債券經,
阿根廷,LOC
級者,
為主,
波動,LOC
法國,LOC
每個子,
內不受,
之新興,
連動型,
禁止,
成分股,
參考,
價證券本,
中央,
集團,
資本,
美國德國,
大地,
團隊,
中長,STY
認購售,
結標,
為連,
外幣間,
基及,
單日,
危機,
丹麥,LOC
聚焦,
現金,
期貨信,
投資項,
或合計,
管制,
正常,
完全,
事件,
趨勢,
股市,TYP
期貨,TYP
指標,
投資級,
伊斯,
開發,
辦法,
資產種類,
範圍,
百分之五,STY
日後因,
影響,
建設,
展望,
如有關,
關法,
運動,
情勢,
定期,
國外,
轉投資,
購售,
資源,
證券櫃,
股及,
景氣,
所發,
或動產,
債可交換,
債券本,
作為,
交換,
選擇權,
核心,
有限公司,
戰術,
原投資,
