,CNY,DRR,INR,PSK,URR,CEW,CROC,CYB,DBV,EUFX,EUO,FPE,FXA,FXB,FXC,FXCH,FXE,FXF,FXS,FXSG,FXY,IPFF,PFF,PGF,PGX,SPFF,UDN,ULE,USDU,UUP,YCL,YCS
2015-12-31,41.22,59.7,36.87,44.612338,17.0,16.7606,58.5401,24.3472,23.055954,43.7807,25.5412,15.748397,70.67242399999999,144.320007,71.15168800000001,76.470001,106.400002,96.370003,116.470001,68.71386700000001,80.629997,13.873849,32.154995,15.591939000000002,12.415994,10.442765,21.127321,15.5113,27.3921,25.353193,54.7502,87.9473
2016-01-04,40.26,60.4304,36.7,44.779912,17.0,16.6179,60.0924,24.2013,22.8979,43.9256,25.7234,15.781635999999999,69.683327,144.080002,70.655289,76.470001,106.019997,96.25,116.199997,68.694,81.08000200000001,13.709916,32.303978,15.649904000000001,12.482436,10.498358,21.097731,15.3977,27.4785,25.392733,55.465,86.7799
2016-01-05,41.16,61.213,36.7,44.911751,17.0,16.6191,60.4933,24.112,22.986805,44.247,26.0948,15.789944,69.440926,143.649994,70.39717900000001,76.470001,105.239998,95.68,114.339996,68.694,81.400002,13.528728,32.337082,15.699582000000001,12.507349000000001,10.514237,20.969507,15.1745,27.5589,25.540997,55.8185,86.2228
2016-01-06,40.232,61.02,36.7,44.789159999999995,17.0,16.5037,62.1523,23.9485,22.720089,44.0945,25.9303,15.765011,68.529526,143.220001,69.95043199999999,74.089996,105.620003,95.860001,114.120003,68.694,81.800003,13.200860999999998,32.2626,15.633346,12.4243,10.450707000000001,21.008959,15.2694,27.6021,25.471806,56.3341,85.4228
2016-01-07,40.3348,59.0105,36.88,44.619737,17.018,16.4855,63.2102,23.9514,22.413861999999998,43.4877,25.2098,15.765011,67.928383,143.130005,69.880936,72.5,107.040001,97.25,116.059998,68.694,82.43,13.114581,32.055671999999994,15.57538,12.407688,10.371297,21.216091,15.6905,27.4866,25.214813,57.1908,84.119
2016-01-08,39.9207,59.5,36.67,44.753689,17.1169,16.4484,63.715,23.9352,22.344715,43.5542,25.2748,15.731766,67.63755,142.220001,69.622833,72.5,106.879997,97.040001,116.059998,67.322304,82.470001,12.881631,32.146729,15.608505,12.440909,10.411,21.196365,15.6488,27.5464,25.264235,57.2839,83.9753
2016-01-11,40.75,59.6596,36.67,44.625197,16.905,16.3485,63.3985,23.9842,22.394108,43.8171,25.5934,15.773319,67.82173900000001,142.449997,69.225723,72.5,106.199997,96.33000200000001,116.059998,67.670197,82.32,12.769461,31.972914000000003,15.57538,12.415994,10.339533,21.087866,15.4493,27.6312,25.382847,57.0271,84.3408
2016-01-12,40.12,59.6701,36.65,44.594781,16.905,16.3578,63.4518,24.0881,22.413861999999998,43.8081,25.584,15.773319,67.792633,141.360001,69.056931,72.5,106.230003,96.230003,115.099998,67.670197,82.32,12.407086,31.948079999999997,15.583654999999998,12.415994,10.268061,21.058277,15.454,27.6458,25.422382,57.0546,84.2957
2016-01-13,40.7,59.6433,36.85,44.447707,16.76,16.439,63.8325,24.2717,22.502768,43.6922,25.4574,15.765011,67.579323,141.429993,68.659836,72.5,106.529999,95.93,115.150002,67.670197,82.339996,12.277664,31.741156,15.492579999999998,12.357859,10.228354,21.107594,15.5297,27.6484,25.382847,57.0994,84.2257
2016-01-14,40.86,59.62,36.85,44.44635,17.0818,16.3969,63.4816,24.1429,22.413861999999998,43.7698,25.5367,15.715145999999999,67.77327700000001,141.130005,68.590347,74.650002,106.309998,95.860001,114.879997,67.670197,82.07,12.165503999999999,31.757702000000002,15.484297,12.366166,10.244234,21.048414,15.4807,27.6942,25.452036,56.7106,84.7951
2016-01-15,40.53,59.0,36.85,44.334456,17.1001,16.287,65.7405,24.0947,22.226175,43.5551,25.2973,15.665288,66.570992,139.520004,67.76635,74.650002,106.860001,96.290001,114.879997,67.670197,82.800003,11.785872,31.633578999999997,15.425785000000001,12.300799000000001,10.180705,21.058277,15.6254,27.7563,25.392733,57.7942,83.1718
2016-01-19,40.74,58.89,36.85,44.353065,17.15,16.3077,64.5613,24.184,22.315081,43.5811,25.3159,15.640355,67.17214200000001,138.779999,67.64720200000001,74.650002,106.760002,96.18,114.879997,67.670197,82.410004,11.742728,31.592185999999998,15.434101,12.334176,10.180705,21.048414,15.6106,27.7842,25.442152,57.1471,84.0875
2016-01-20,40.72,59.22,36.85,44.052273,17.278,16.134,64.6528,24.2694,22.245934,43.6601,25.414,15.557245000000002,67.104271,138.720001,67.954971,74.650002,106.559998,96.050003,114.879997,67.670197,82.93,11.777241,31.401827,15.300969,12.242381,10.109233999999999,21.048414,15.5492,27.8012,25.452036,57.8297,83.07799999999997
2016-01-21,40.11,59.811,36.85,44.064172,17.278,16.1394,62.8361,24.2031,22.542279999999998,43.6731,25.4221,15.523786999999999,68.05442,139.259995,68.947731,74.650002,106.529999,95.879997,114.879997,67.670197,82.400002,11.794497999999999,31.459743,15.309292999999998,12.250727000000001,10.140996000000001,21.068142,15.5436,27.8002,25.422382,57.2282,83.9385
2016-01-22,40.1382,60.51,36.36,44.371034,16.65,16.3488,62.8883,24.2404,22.690454000000003,44.0421,25.857,15.599067999999999,68.005943,139.699997,69.602959,75.059998,105.629997,94.93,114.879997,67.670197,81.550003,12.286294,31.625282000000002,15.392496,12.300799000000001,10.220413,20.920189,15.2771,27.8418,25.560764000000002,55.9338,85.8309
