id,name
F0HKG05WWS:FO,瀚亞中小型股基金
F0HKG05WZ2:FO,瀚亞電通網基金
F0HKG05WZ3:FO,瀚亞高科技基金
F0HKG05WY6:FO,瀚亞外銷基金
F0HKG05X2F:FO,瀚亞菁華基金
F000010VSJ:FO,瀚亞印度政府基礎建設債券基金B 類型人民幣
F00000ZNVB:FO,瀚亞策略印度傘型基金之印度策略收益債券基金S類型-人民幣
F00000ZD3C:FO,瀚亞策略印度傘型基金之印度策略收益債券基金B類型人民幣
F00000WUPS:FO,瀚亞股債入息組合基金B-美元
F00000ZD39:FO,瀚亞策略印度傘型基金之印度策略收益債券基金A類型新台幣
F00000ZNV8:FO,瀚亞策略印度傘型基金之印度策略收益平衡基金S類型-人民幣
F000010VSH:FO,瀚亞印度政府基礎建設債券基金B 類型新臺幣
F00000ZD3B:FO,瀚亞策略印度傘型基金之印度策略收益債券基金B類型美元
F00000ZD38:FO,瀚亞策略印度傘型基金之印度策略收益平衡基金B類型人民幣
F00000ZD3A:FO,瀚亞策略印度傘型基金之印度策略收益債券基金B類型新台幣
F000010VSG:FO,瀚亞印度政府基礎建設債券基金A 類型新臺幣
F000010VSI:FO,瀚亞印度政府基礎建設債券基金B 類型美元
F00000ZNV9:FO,瀚亞策略印度傘型基金之印度策略收益債券基金S類型-新臺幣
F00000WUPY:FO,瀚亞精選傘型基金之債券精選組合基金B-人民幣
F00000ZHL2:FO,瀚亞策略印度傘型基金之印度策略收益債券基金A類型美元
F000010ELK:FO,瀚亞策略印度傘型基金之印度策略收益平衡基金IB類型新台幣
F00000ZNVA:FO,瀚亞策略印度傘型基金之印度策略收益債券基金S類型-美元
F000011THD:FO,瀚亞三至六年目標到期新興市場債券基金 南非幣 A
F0000111CZ:FO,瀚亞多重收益優化組合基金B 類型紐幣
F0HKG05WX6:FO,瀚亞理財通基金
F000011THC:FO,瀚亞三至六年目標到期新興市場債券基金 人民幣 A
F00000VHM9:FO,瀚亞新興豐收基金B-南非幣
F00000VHM8:FO,瀚亞新興豐收基金A-南非幣
F00000VHM4:FO,瀚亞新興豐收基金A-美元
F000011THB:FO,瀚亞三至六年目標到期新興市場債券基金 美元 A
F000011THA:FO,瀚亞三至六年目標到期新興市場債券基金 新臺幣 A
F00000ZD37:FO,瀚亞策略印度傘型基金之印度策略收益平衡基金B類型美元
